COD;CODMUN7;Estado;ano;Nome;CV_SCR1 (1 ano);CV_SCR2 (15 meses);Poprural;PopUrb;RDPC;PEA;PEA_A;IDHM;IDHM_E;IDHM_L;IDHM_R;T_ANALF18M;T_MED18M;T_SUPER25M;T_AGUA;T_BANAGUA;T_DENS;T_LIXO;T_LUZ;AGUA_ESGOTO;POPDOMCHEFMULHERES;DENSDEMOG2010;PERC_NV_7CPN;CoberturaAB
110094;1100940;Rondonia;2016;Cujubim;128,89;101,11;30,35;69,65;495,31;7539;47,55;0,612;0,439;0,789;0,663;13,01;15,88;2,21;94,18;66,32;33,65;84,27;91,47;21,04;25,6;4,1;65,56;49,35
110100;1101005;Rondonia;2016;Governador Jorge Teixeira;130,53;119,08;77,54;22,46;396,36;4609;43,85;0,596;0,444;0,762;0,627;14,64;13,83;2,93;94,71;76,85;23,3;95,78;94,34;6,33;17,94;2,07;84,82;100
110110;1101104;Rondonia;2016;Itapua do Oeste;131,25;132,14;39,04;60,96;411,36;4258;49,71;0,614;0,488;0,751;0,633;14,24;19,37;4,02;91,75;68,43;34,37;88,53;97,72;23,92;33,97;2,1;62,02;34,52
110120;1101203;Rondonia;2016;Ministro Andreazza;120,65;134,78;70,31;29,69;448,38;4644;44,86;0,638;0,518;0,776;0,647;13,93;20,68;3,85;92,14;87,48;19,99;100;97,85;4,71;20,29;12,97;88,17;100
110130;1101302;Rondonia;2016;Mirante da Serra;88,14;83,62;45,75;54,25;527,79;5899;49,66;0,643;0,494;0,8;0,673;14,71;16,01;4,12;96,64;80,66;20,58;86,1;96,59;10,98;23,7;9,97;79,73;83,74
110140;1101401;Rondonia;2016;Monte Negro;77,97;73,31;47,56;52,44;443,85;6871;48,76;0,607;0,454;0,762;0,645;15,74;18,07;5,07;98,33;77,85;28,17;86,05;95,85;9,55;18,37;7,3;81,5;100
110143;1101435;Rondonia;2016;Nova Uniao;125,35;83,1;79,43;20,57;352,24;4079;54,44;0,587;0,442;0,753;0,608;15,11;14,72;2,85;90,86;76,07;20,48;95,48;96,98;11,65;18,4;9,28;62,22;88,19
110145;1101450;Rondonia;2016;Parecis;118,52;127,78;63,12;36,88;343,73;2069;43,01;0,617;0,485;0,8;0,604;16,03;17,88;4,8;87,26;78,77;20,36;97,33;86,86;9,93;15,25;1,89;88;100
110146;1101468;Rondonia;2016;Pimenteiras do Oeste;86,54;88,46;44,19;55,81;493,67;1080;46,65;0,665;0,545;0,816;0,662;10,4;27,38;5,92;96,71;82,16;26,07;92,72;95,07;10,81;21,97;0,38;64,71;100
110147;1101476;Rondonia;2016;Primavera de Rondonia;130;135;63,56;36,44;442,61;1476;41,88;0,641;0,512;0,799;0,645;14,63;16,99;3,03;96,29;86,03;22,7;98,25;96,79;7,54;22,12;5,82;78,57;100
110148;1101484;Rondonia;2016;Sao Felipe D'Oeste;118,06;106,94;76,01;23,99;368,24;2814;46,76;0,649;0,571;0,78;0,615;15,9;21,69;4,5;92,1;90,8;17,46;93,56;99,33;6,69;30,34;11,11;72,22;100
110149;1101492;Rondonia;2016;Sao Francisco do Guapora;111,95;109,75;48,69;51,31;477,9;8271;51,58;0,611;0,462;0,751;0,657;10,42;18,89;5,07;96,26;70,72;21,74;84,89;93,27;16,21;22,89;1,46;73,44;100
110150;1101500;Rondonia;2016;Seringueiras;107,61;101,63;62,19;37,81;441,13;6215;53,44;0,598;0,427;0,779;0,644;11,41;12,5;2,9;96,9;74,41;24,4;90,03;96;15,87;20,42;3,08;85,96;100
110155;1101559;Rondonia;2016;Teixeiropolis;110;120;64,89;35,11;464,45;2539;51,94;0,643;0,498;0,818;0,653;14,04;17,1;3,66;95,05;89,33;16,29;81,91;98,65;2,88;17,13;10,63;62,71;100
110160;1101609;Rondonia;2016;Theobroma;193,33;199,05;81,43;18,57;382,6;5423;50,92;0,589;0,434;0,757;0,622;16,37;10,74;4,06;96,15;71,98;21,4;93,06;95,37;7,32;19,52;4,85;80,15;100
110170;1101708;Rondonia;2016;Urup ;124,63;91,79;60,41;39,59;380,5;6402;49,34;0,609;0,471;0,772;0,621;15,49;15,07;3,52;93,24;81,59;19,71;92,5;96,94;9,73;21,84;15,6;68,21;77,86
110175;1101757;Rondonia;2016;Vale do Anari;34,95;18,45;65,98;34,02;394,02;4549;48,48;0,584;0,421;0,756;0,626;16,45;16,15;4,39;93,37;62,07;22,22;97,72;89,36;22,2;20,46;2,99;81,82;63,64
110180;1101807;Rondonia;2016;Vale do Paraiso;119,35;143,55;72,28;27,72;432,03;3121;38,01;0,627;0,485;0,792;0,641;14,13;17,89;3,46;96,71;83,3;14,29;93,74;98,1;5,26;25,97;8,5;68,37;100
120001;1200013;acre;2016;Acrelandia;91,16;83,26;52,82;47,18;303,76;5108;40,74;0,604;0,466;0,808;0,584;17,11;20,85;4,22;93,87;55,29;41,61;97,44;94,56;23,82;24,88;6,94;57,21;100
120005;1200054;acre;2016;Assis Brasil;67,97;15,58;39,06;60,94;291,33;2151;35,42;0,588;0,456;0,77;0,578;22,42;23,55;4,75;80,31;40,79;47;96,83;84,4;28,79;34,37;1,22;36,32;100
120010;1200104;acre;2016;Brasilaia;74,85;78,34;33,37;66,63;376,07;8582;40,11;0,614;0,485;0,77;0,619;19,58;24,13;5,71;91,48;53,24;41,11;95,88;91,25;20,4;35,14;5,46;46,94;100
120013;1200138;acre;2016;Bujari;78,46;73,58;56,4;43,6;340,95;3353;39,58;0,589;0,439;0,772;0,603;26,78;18,28;4,34;81,12;41,89;50,25;94,07;94,47;23,51;21,93;2,79;46,37;100
120017;1200179;acre;2016;Capixaba;88,48;67,74;55,34;44,66;336,17;4038;45,9;0,575;0,398;0,794;0,601;23,84;14,65;3,44;86,19;30,45;48,48;95,43;93,98;31,13;27,46;5,17;39,18;100
120020;1200203;acre;2016;Cruzeiro do Sul;73,56;59,15;29,53;70,47;450,06;30372;38,69;0,664;0,582;0,776;0,648;20,36;32,09;7,62;79,14;38,88;45;84,78;94,73;39,12;41,5;8,94;53,25;100
120025;1200252;acre;2016;Epitaciolandia;58,48;54,15;29,68;70,32;467,83;6585;43,61;0,653;0,553;0,771;0,654;17,72;29,02;7,27;89,66;45,68;38,98;92,48;93,75;29,37;34,75;9,13;40,37;100
120030;1200302;acre;2016;Feijo;65,15;37,67;48,67;51,33;259,43;11048;34,09;0,539;0,388;0,723;0,559;37,81;18,39;4,44;69,53;26,02;62,56;89,65;65,41;36,26;25,8;1,16;22,06;85,22
120032;1200328;acre;2016;Jordao;100;100,74;65,46;34,54;178,03;1808;27,49;0,469;0,283;0,731;0,499;29,87;12,51;2,57;46,28;8,66;68,55;99,29;41,83;64,96;25,44;1,23;17,87;100
120033;1200336;acre;2016;Mencio Lima;61,4;22,54;42,46;57,54;295,5;5121;33,68;0,625;0,546;0,77;0,58;26,18;28,48;4,44;80,26;28,19;50,03;76,74;85,34;47,93;39,59;2,79;41,85;100
120034;1200344;acre;2016;Manoel Urbano;93,8;56,98;33,87;66,13;307,7;2985;37,4;0,551;0,373;0,767;0,586;34,77;18,78;4,35;80,41;30,12;55,35;74,53;76,99;31,93;25,48;0,75;38,56;100
120035;1200351;acre;2016;Marechal Thaumaturgo;50;27,4;72,1;27,9;157,27;5281;37,12;0,501;0,361;0,726;0,479;38,36;11,39;2,46;50,76;9,33;63,63;95,1;51,51;40,2;29,88;1,74;27,56;100
120038;1200385;acre;2016;Placido de Castro;113,45;76,32;39,67;60,33;321,16;5940;34,52;0,622;0,517;0,786;0,593;20,1;23,52;4,69;91,46;44,68;43,73;87,36;98,57;30,89;27,28;8,86;52,21;100
120039;1200393;acre;2016;Porto Walter;87,98;38,37;63,79;36,21;204,19;3486;37,99;0,532;0,397;0,726;0,521;37,41;16,76;1,59;44,36;17,37;68,08;51,78;69,39;39,53;26,59;1,42;46,96;96,2
120040;1200401;acre;2016;Rio Branco;76,89;73,54;8,18;91,82;744,67;154892;46,09;0,727;0,661;0,798;0,729;9,71;43,07;12,93;94,09;62,1;39,42;97,38;99,34;18,43;45,73;38,03;54,63;84,48
120042;1200427;acre;2016;Rodrigues Alves;110;116,41;70,01;29,99;200,58;4786;33,26;0,567;0,477;0,736;0,518;34,46;19,82;4,01;71,48;10,89;57,15;95,36;89,56;52,64;27,33;4,68;42,43;100
120043;1200435;acre;2016;Santa Rosa do Purus;197,12;169,06;59,67;40,33;201,58;1258;26,82;0,517;0,34;0,781;0,519;27,62;18,32;2,33;65,93;28,21;79,03;91,82;54,3;39,87;18,19;0,76;35,79;100
120045;1200450;acre;2016;Senador Guiomard;59,95;35,93;37,05;62,95;455,06;8328;41,27;0,64;0,513;0,786;0,649;19,28;23,76;5,4;92,31;52,88;44,42;93,99;99,06;29,76;37,25;8,69;43,17;100
120050;1200500;acre;2016;Sena Madureira;78,07;61,38;33,97;66,03;320,8;15967;41,99;0,603;0,456;0,81;0,593;26,81;24,85;4,01;82,48;36,48;52,76;91,77;82,95;40,8;33,6;1,6;36,22;100
120060;1200609;acre;2016;Tarauac ;77,79;59,65;45,63;54,37;251,53;12018;33,77;0,539;0,392;0,72;0,554;34,37;16,5;3,42;60,4;19,3;64,5;84,42;70,47;41,95;31,28;1,76;16,42;88,87
120070;1200708;acre;2016;Xapuri;78,3;67,92;35,8;64,2;382,24;6903;42,9;0,599;0,448;0,773;0,621;24,14;21,88;5,32;86,75;51,78;46,94;91,56;84,1;17,68;37,07;3,01;58,66;100
120080;1200807;acre;2016;Porto Acre;60,62;62,32;86,68;13,32;319,71;4640;31,18;0,576;0,418;0,771;0,593;25,65;17,21;2,73;84,45;40,21;50,45;93,43;95,9;38,64;28,76;5,71;46,07;100
130002;1300029;amazonas;2016;Alvaraes;87,54;83,09;44,02;55,98;178,67;3768;26,75;0,527;0,377;0,778;0,499;22,53;16,44;3,36;48,93;25,53;72,73;88,14;94,36;44,97;28,33;2,38;36,62;66,58
130006;1300060;amazonas;2016;Amatur ;120,98;146,83;47,61;52,39;178,69;2420;25,56;0,56;0,455;0,773;0,499;24,66;23,55;3,71;66,65;37,25;69,07;73,1;77,53;26,95;18,41;1,99;55,71;63,61
130008;1300086;amazonas;2016;Anama;60,25;72,67;59,13;40,87;226,82;4216;41,28;0,594;0,526;0,741;0,537;17,42;28,53;4,73;58,47;46,79;67,42;96,3;93,25;38,88;26,96;4,16;63,19;100
130010;1300102;amazonas;2016;Anori;69,05;97,22;38,71;61,29;229,94;6679;40,93;0,561;0,433;0,757;0,54;21,15;18,15;3,86;66,86;52,94;65,45;75,11;88,44;29,24;27,89;2,82;39,47;100
130014;1300144;amazonas;2016;Apui;120;115,5;41,16;58,84;380,62;8195;45,51;0,637;0,54;0,772;0,621;11,64;20,98;4,06;86,73;46,5;44,68;91,35;82,12;41,58;26,14;0,33;76,78;100
